version,window_size,offset,attack_type,roc_auc
embeddings_only_normalized,50,50,correlated_signal_attack,0.64
all_normalized,50,50,correlated_signal_attack,0.73
embeddings_only_normalized,100,50,correlated_signal_attack,0.66
all_normalized,100,50,correlated_signal_attack,0.75
embeddings_only_normalized,100,100,correlated_signal_attack,0.79
all_normalized,100,100,correlated_signal_attack,0.84
embeddings_only_normalized,150,50,correlated_signal_attack,0.66
all_normalized,150,50,correlated_signal_attack,0.71
embeddings_only_normalized,150,100,correlated_signal_attack,0.71
all_normalized,150,100,correlated_signal_attack,0.75
embeddings_only_normalized,150,150,correlated_signal_attack,0.67
all_normalized,150,150,correlated_signal_attack,0.71
embeddings_only_normalized,200,50,correlated_signal_attack,0.73
all_normalized,200,50,correlated_signal_attack,0.77
embeddings_only_normalized,200,100,correlated_signal_attack,0.7
all_normalized,200,100,correlated_signal_attack,0.78
embeddings_only_normalized,200,150,correlated_signal_attack,0.75
all_normalized,200,150,correlated_signal_attack,0.8
embeddings_only_normalized,200,200,correlated_signal_attack,0.65
all_normalized,200,200,correlated_signal_attack,0.73
embeddings_only_normalized,250,50,correlated_signal_attack,0.71
all_normalized,250,50,correlated_signal_attack,0.77
embeddings_only_normalized,250,100,correlated_signal_attack,0.71
all_normalized,250,100,correlated_signal_attack,0.77
embeddings_only_normalized,250,150,correlated_signal_attack,0.58
all_normalized,250,150,correlated_signal_attack,0.63
embeddings_only_normalized,250,200,correlated_signal_attack,0.71
all_normalized,250,200,correlated_signal_attack,0.78
embeddings_only_normalized,250,250,correlated_signal_attack,0.67
all_normalized,250,250,correlated_signal_attack,0.73
embeddings_only_normalized,300,50,correlated_signal_attack,0.65
all_normalized,300,50,correlated_signal_attack,0.73
embeddings_only_normalized,300,100,correlated_signal_attack,0.62
all_normalized,300,100,correlated_signal_attack,0.69
embeddings_only_normalized,300,150,correlated_signal_attack,0.7
all_normalized,300,150,correlated_signal_attack,0.77
embeddings_only_normalized,300,200,correlated_signal_attack,0.71
all_normalized,300,200,correlated_signal_attack,0.78
embeddings_only_normalized,300,250,correlated_signal_attack,0.7
all_normalized,300,250,correlated_signal_attack,0.75
embeddings_only_normalized,300,300,correlated_signal_attack,0.64
all_normalized,300,300,correlated_signal_attack,0.71
embeddings_only_normalized,350,50,correlated_signal_attack,0.69
all_normalized,350,50,correlated_signal_attack,0.74
embeddings_only_normalized,350,100,correlated_signal_attack,0.66
all_normalized,350,100,correlated_signal_attack,0.72
embeddings_only_normalized,350,150,correlated_signal_attack,0.67
all_normalized,350,150,correlated_signal_attack,0.73
embeddings_only_normalized,350,200,correlated_signal_attack,0.73
all_normalized,350,200,correlated_signal_attack,0.81
embeddings_only_normalized,350,250,correlated_signal_attack,0.68
all_normalized,350,250,correlated_signal_attack,0.75
embeddings_only_normalized,350,300,correlated_signal_attack,0.61
all_normalized,350,300,correlated_signal_attack,0.68
embeddings_only_normalized,350,350,correlated_signal_attack,0.68
all_normalized,350,350,correlated_signal_attack,0.73
embeddings_only_normalized,400,50,correlated_signal_attack,0.7
all_normalized,400,50,correlated_signal_attack,0.75
embeddings_only_normalized,400,100,correlated_signal_attack,0.73
all_normalized,400,100,correlated_signal_attack,0.78
embeddings_only_normalized,400,150,correlated_signal_attack,0.66
all_normalized,400,150,correlated_signal_attack,0.7
embeddings_only_normalized,400,200,correlated_signal_attack,0.68
all_normalized,400,200,correlated_signal_attack,0.75
embeddings_only_normalized,400,250,correlated_signal_attack,0.71
all_normalized,400,250,correlated_signal_attack,0.78
embeddings_only_normalized,400,300,correlated_signal_attack,0.63
all_normalized,400,300,correlated_signal_attack,0.68
embeddings_only_normalized,400,350,correlated_signal_attack,0.78
all_normalized,400,350,correlated_signal_attack,0.82
embeddings_only_normalized,400,400,correlated_signal_attack,0.54
all_normalized,400,400,correlated_signal_attack,0.6
embeddings_only_normalized,50,50,max_engine_coolant_attack,0.73
all_normalized,50,50,max_engine_coolant_attack,0.78
embeddings_only_normalized,100,50,max_engine_coolant_attack,0.73
all_normalized,100,50,max_engine_coolant_attack,0.79
embeddings_only_normalized,100,100,max_engine_coolant_attack,0.59
all_normalized,100,100,max_engine_coolant_attack,0.67
embeddings_only_normalized,150,50,max_engine_coolant_attack,0.26
all_normalized,150,50,max_engine_coolant_attack,0.34
embeddings_only_normalized,150,100,max_engine_coolant_attack,0.8
all_normalized,150,100,max_engine_coolant_attack,0.85
embeddings_only_normalized,150,150,max_engine_coolant_attack,0.75
all_normalized,150,150,max_engine_coolant_attack,0.8
embeddings_only_normalized,200,50,max_engine_coolant_attack,0.43
all_normalized,200,50,max_engine_coolant_attack,0.51
embeddings_only_normalized,200,100,max_engine_coolant_attack,0.37
all_normalized,200,100,max_engine_coolant_attack,0.45
embeddings_only_normalized,200,150,max_engine_coolant_attack,0.2
all_normalized,200,150,max_engine_coolant_attack,0.24
embeddings_only_normalized,200,200,max_engine_coolant_attack,0.89
all_normalized,200,200,max_engine_coolant_attack,0.96
embeddings_only_normalized,250,50,max_engine_coolant_attack,0.72
all_normalized,250,50,max_engine_coolant_attack,0.8
embeddings_only_normalized,250,100,max_engine_coolant_attack,0.71
all_normalized,250,100,max_engine_coolant_attack,0.8
embeddings_only_normalized,250,150,max_engine_coolant_attack,0.89
all_normalized,250,150,max_engine_coolant_attack,0.94
embeddings_only_normalized,250,200,max_engine_coolant_attack,0.59
all_normalized,250,200,max_engine_coolant_attack,0.66
embeddings_only_normalized,250,250,max_engine_coolant_attack,0.58
all_normalized,250,250,max_engine_coolant_attack,0.65
embeddings_only_normalized,300,50,max_engine_coolant_attack,0.7
all_normalized,300,50,max_engine_coolant_attack,0.76
embeddings_only_normalized,300,100,max_engine_coolant_attack,0.43
all_normalized,300,100,max_engine_coolant_attack,0.48
embeddings_only_normalized,300,150,max_engine_coolant_attack,0.72
all_normalized,300,150,max_engine_coolant_attack,0.79
embeddings_only_normalized,300,200,max_engine_coolant_attack,0.64
all_normalized,300,200,max_engine_coolant_attack,0.72
embeddings_only_normalized,300,250,max_engine_coolant_attack,0.75
all_normalized,300,250,max_engine_coolant_attack,0.79
embeddings_only_normalized,300,300,max_engine_coolant_attack,0.58
all_normalized,300,300,max_engine_coolant_attack,0.65
embeddings_only_normalized,350,50,max_engine_coolant_attack,0.61
all_normalized,350,50,max_engine_coolant_attack,0.66
embeddings_only_normalized,350,100,max_engine_coolant_attack,0.76
all_normalized,350,100,max_engine_coolant_attack,0.84
embeddings_only_normalized,350,150,max_engine_coolant_attack,0.69
all_normalized,350,150,max_engine_coolant_attack,0.74
embeddings_only_normalized,350,200,max_engine_coolant_attack,0.57
all_normalized,350,200,max_engine_coolant_attack,0.66
embeddings_only_normalized,350,250,max_engine_coolant_attack,0.88
all_normalized,350,250,max_engine_coolant_attack,0.94
embeddings_only_normalized,350,300,max_engine_coolant_attack,0.89
all_normalized,350,300,max_engine_coolant_attack,0.97
embeddings_only_normalized,350,350,max_engine_coolant_attack,0.74
all_normalized,350,350,max_engine_coolant_attack,0.83
embeddings_only_normalized,400,50,max_engine_coolant_attack,0.83
all_normalized,400,50,max_engine_coolant_attack,0.9
embeddings_only_normalized,400,100,max_engine_coolant_attack,0.75
all_normalized,400,100,max_engine_coolant_attack,0.83
embeddings_only_normalized,400,150,max_engine_coolant_attack,0.69
all_normalized,400,150,max_engine_coolant_attack,0.76
embeddings_only_normalized,400,200,max_engine_coolant_attack,0.49
all_normalized,400,200,max_engine_coolant_attack,0.57
embeddings_only_normalized,400,250,max_engine_coolant_attack,0.43
all_normalized,400,250,max_engine_coolant_attack,0.51
embeddings_only_normalized,400,300,max_engine_coolant_attack,0.17
all_normalized,400,300,max_engine_coolant_attack,0.24
embeddings_only_normalized,400,350,max_engine_coolant_attack,0.53
all_normalized,400,350,max_engine_coolant_attack,0.61
embeddings_only_normalized,400,400,max_engine_coolant_attack,0.72
all_normalized,400,400,max_engine_coolant_attack,0.79
embeddings_only_normalized,50,50,max_speedometer_attack,0.61
all_normalized,50,50,max_speedometer_attack,0.67
embeddings_only_normalized,100,50,max_speedometer_attack,0.63
all_normalized,100,50,max_speedometer_attack,0.68
embeddings_only_normalized,100,100,max_speedometer_attack,0.58
all_normalized,100,100,max_speedometer_attack,0.64
embeddings_only_normalized,150,50,max_speedometer_attack,0.53
all_normalized,150,50,max_speedometer_attack,0.61
embeddings_only_normalized,150,100,max_speedometer_attack,0.59
all_normalized,150,100,max_speedometer_attack,0.65
embeddings_only_normalized,150,150,max_speedometer_attack,0.52
all_normalized,150,150,max_speedometer_attack,0.6
embeddings_only_normalized,200,50,max_speedometer_attack,0.58
all_normalized,200,50,max_speedometer_attack,0.62
embeddings_only_normalized,200,100,max_speedometer_attack,0.52
all_normalized,200,100,max_speedometer_attack,0.59
embeddings_only_normalized,200,150,max_speedometer_attack,0.57
all_normalized,200,150,max_speedometer_attack,0.64
embeddings_only_normalized,200,200,max_speedometer_attack,0.54
all_normalized,200,200,max_speedometer_attack,0.62
embeddings_only_normalized,250,50,max_speedometer_attack,0.61
all_normalized,250,50,max_speedometer_attack,0.65
embeddings_only_normalized,250,100,max_speedometer_attack,0.55
all_normalized,250,100,max_speedometer_attack,0.63
embeddings_only_normalized,250,150,max_speedometer_attack,0.64
all_normalized,250,150,max_speedometer_attack,0.68
embeddings_only_normalized,250,200,max_speedometer_attack,0.48
all_normalized,250,200,max_speedometer_attack,0.55
embeddings_only_normalized,250,250,max_speedometer_attack,0.56
all_normalized,250,250,max_speedometer_attack,0.63
embeddings_only_normalized,300,50,max_speedometer_attack,0.57
all_normalized,300,50,max_speedometer_attack,0.65
embeddings_only_normalized,300,100,max_speedometer_attack,0.5
all_normalized,300,100,max_speedometer_attack,0.58
embeddings_only_normalized,300,150,max_speedometer_attack,0.62
all_normalized,300,150,max_speedometer_attack,0.7
embeddings_only_normalized,300,200,max_speedometer_attack,0.51
all_normalized,300,200,max_speedometer_attack,0.6
embeddings_only_normalized,300,250,max_speedometer_attack,0.45
all_normalized,300,250,max_speedometer_attack,0.52
embeddings_only_normalized,300,300,max_speedometer_attack,0.5
all_normalized,300,300,max_speedometer_attack,0.55
embeddings_only_normalized,350,50,max_speedometer_attack,0.55
all_normalized,350,50,max_speedometer_attack,0.64
embeddings_only_normalized,350,100,max_speedometer_attack,0.51
all_normalized,350,100,max_speedometer_attack,0.57
embeddings_only_normalized,350,150,max_speedometer_attack,0.56
all_normalized,350,150,max_speedometer_attack,0.65
embeddings_only_normalized,350,200,max_speedometer_attack,0.58
all_normalized,350,200,max_speedometer_attack,0.64
embeddings_only_normalized,350,250,max_speedometer_attack,0.65
all_normalized,350,250,max_speedometer_attack,0.7
embeddings_only_normalized,350,300,max_speedometer_attack,0.54
all_normalized,350,300,max_speedometer_attack,0.58
embeddings_only_normalized,350,350,max_speedometer_attack,0.51
all_normalized,350,350,max_speedometer_attack,0.56
embeddings_only_normalized,400,50,max_speedometer_attack,0.59
all_normalized,400,50,max_speedometer_attack,0.66
embeddings_only_normalized,400,100,max_speedometer_attack,0.59
all_normalized,400,100,max_speedometer_attack,0.65
embeddings_only_normalized,400,150,max_speedometer_attack,0.56
all_normalized,400,150,max_speedometer_attack,0.64
embeddings_only_normalized,400,200,max_speedometer_attack,0.63
all_normalized,400,200,max_speedometer_attack,0.68
embeddings_only_normalized,400,250,max_speedometer_attack,0.59
all_normalized,400,250,max_speedometer_attack,0.63
embeddings_only_normalized,400,300,max_speedometer_attack,0.56
all_normalized,400,300,max_speedometer_attack,0.61
embeddings_only_normalized,400,350,max_speedometer_attack,0.63
all_normalized,400,350,max_speedometer_attack,0.68
embeddings_only_normalized,400,400,max_speedometer_attack,0.58
all_normalized,400,400,max_speedometer_attack,0.65
embeddings_only_normalized,50,50,reverse_light_off_attack,0.53
all_normalized,50,50,reverse_light_off_attack,0.58
embeddings_only_normalized,100,50,reverse_light_off_attack,0.65
all_normalized,100,50,reverse_light_off_attack,0.71
embeddings_only_normalized,100,100,reverse_light_off_attack,0.67
all_normalized,100,100,reverse_light_off_attack,0.75
embeddings_only_normalized,150,50,reverse_light_off_attack,0.72
all_normalized,150,50,reverse_light_off_attack,0.76
embeddings_only_normalized,150,100,reverse_light_off_attack,0.67
all_normalized,150,100,reverse_light_off_attack,0.72
embeddings_only_normalized,150,150,reverse_light_off_attack,0.66
all_normalized,150,150,reverse_light_off_attack,0.75
embeddings_only_normalized,200,50,reverse_light_off_attack,0.64
all_normalized,200,50,reverse_light_off_attack,0.7
embeddings_only_normalized,200,100,reverse_light_off_attack,0.64
all_normalized,200,100,reverse_light_off_attack,0.68
embeddings_only_normalized,200,150,reverse_light_off_attack,0.6
all_normalized,200,150,reverse_light_off_attack,0.67
embeddings_only_normalized,200,200,reverse_light_off_attack,0.63
all_normalized,200,200,reverse_light_off_attack,0.67
embeddings_only_normalized,250,50,reverse_light_off_attack,0.65
all_normalized,250,50,reverse_light_off_attack,0.72
embeddings_only_normalized,250,100,reverse_light_off_attack,0.56
all_normalized,250,100,reverse_light_off_attack,0.65
embeddings_only_normalized,250,150,reverse_light_off_attack,0.6
all_normalized,250,150,reverse_light_off_attack,0.66
embeddings_only_normalized,250,200,reverse_light_off_attack,0.62
all_normalized,250,200,reverse_light_off_attack,0.66
embeddings_only_normalized,250,250,reverse_light_off_attack,0.72
all_normalized,250,250,reverse_light_off_attack,0.77
embeddings_only_normalized,300,50,reverse_light_off_attack,0.65
all_normalized,300,50,reverse_light_off_attack,0.7
embeddings_only_normalized,300,100,reverse_light_off_attack,0.61
all_normalized,300,100,reverse_light_off_attack,0.66
embeddings_only_normalized,300,150,reverse_light_off_attack,0.69
all_normalized,300,150,reverse_light_off_attack,0.73
embeddings_only_normalized,300,200,reverse_light_off_attack,0.52
all_normalized,300,200,reverse_light_off_attack,0.58
embeddings_only_normalized,300,250,reverse_light_off_attack,0.66
all_normalized,300,250,reverse_light_off_attack,0.73
embeddings_only_normalized,300,300,reverse_light_off_attack,0.6
all_normalized,300,300,reverse_light_off_attack,0.68
embeddings_only_normalized,350,50,reverse_light_off_attack,0.65
all_normalized,350,50,reverse_light_off_attack,0.74
embeddings_only_normalized,350,100,reverse_light_off_attack,0.63
all_normalized,350,100,reverse_light_off_attack,0.72
embeddings_only_normalized,350,150,reverse_light_off_attack,0.62
all_normalized,350,150,reverse_light_off_attack,0.66
embeddings_only_normalized,350,200,reverse_light_off_attack,0.57
all_normalized,350,200,reverse_light_off_attack,0.65
embeddings_only_normalized,350,250,reverse_light_off_attack,0.54
all_normalized,350,250,reverse_light_off_attack,0.6
embeddings_only_normalized,350,300,reverse_light_off_attack,0.64
all_normalized,350,300,reverse_light_off_attack,0.68
embeddings_only_normalized,350,350,reverse_light_off_attack,0.66
all_normalized,350,350,reverse_light_off_attack,0.73
embeddings_only_normalized,400,50,reverse_light_off_attack,0.56
all_normalized,400,50,reverse_light_off_attack,0.64
embeddings_only_normalized,400,100,reverse_light_off_attack,0.66
all_normalized,400,100,reverse_light_off_attack,0.73
embeddings_only_normalized,400,150,reverse_light_off_attack,0.65
all_normalized,400,150,reverse_light_off_attack,0.69
embeddings_only_normalized,400,200,reverse_light_off_attack,0.69
all_normalized,400,200,reverse_light_off_attack,0.75
embeddings_only_normalized,400,250,reverse_light_off_attack,0.65
all_normalized,400,250,reverse_light_off_attack,0.69
embeddings_only_normalized,400,300,reverse_light_off_attack,0.64
all_normalized,400,300,reverse_light_off_attack,0.7
embeddings_only_normalized,400,350,reverse_light_off_attack,0.54
all_normalized,400,350,reverse_light_off_attack,0.61
embeddings_only_normalized,400,400,reverse_light_off_attack,0.76
all_normalized,400,400,reverse_light_off_attack,0.81
embeddings_only_normalized,50,50,reverse_light_on_attack,0.5
all_normalized,50,50,reverse_light_on_attack,0.57
embeddings_only_normalized,100,50,reverse_light_on_attack,0.56
all_normalized,100,50,reverse_light_on_attack,0.64
embeddings_only_normalized,100,100,reverse_light_on_attack,0.59
all_normalized,100,100,reverse_light_on_attack,0.66
embeddings_only_normalized,150,50,reverse_light_on_attack,0.53
all_normalized,150,50,reverse_light_on_attack,0.59
embeddings_only_normalized,150,100,reverse_light_on_attack,0.53
all_normalized,150,100,reverse_light_on_attack,0.59
embeddings_only_normalized,150,150,reverse_light_on_attack,0.68
all_normalized,150,150,reverse_light_on_attack,0.72
embeddings_only_normalized,200,50,reverse_light_on_attack,0.57
all_normalized,200,50,reverse_light_on_attack,0.63
embeddings_only_normalized,200,100,reverse_light_on_attack,0.57
all_normalized,200,100,reverse_light_on_attack,0.65
embeddings_only_normalized,200,150,reverse_light_on_attack,0.55
all_normalized,200,150,reverse_light_on_attack,0.64
embeddings_only_normalized,200,200,reverse_light_on_attack,0.57
all_normalized,200,200,reverse_light_on_attack,0.61
embeddings_only_normalized,250,50,reverse_light_on_attack,0.54
all_normalized,250,50,reverse_light_on_attack,0.59
embeddings_only_normalized,250,100,reverse_light_on_attack,0.57
all_normalized,250,100,reverse_light_on_attack,0.64
embeddings_only_normalized,250,150,reverse_light_on_attack,0.56
all_normalized,250,150,reverse_light_on_attack,0.61
embeddings_only_normalized,250,200,reverse_light_on_attack,0.62
all_normalized,250,200,reverse_light_on_attack,0.7
embeddings_only_normalized,250,250,reverse_light_on_attack,0.51
all_normalized,250,250,reverse_light_on_attack,0.57
embeddings_only_normalized,300,50,reverse_light_on_attack,0.57
all_normalized,300,50,reverse_light_on_attack,0.62
embeddings_only_normalized,300,100,reverse_light_on_attack,0.59
all_normalized,300,100,reverse_light_on_attack,0.68
embeddings_only_normalized,300,150,reverse_light_on_attack,0.46
all_normalized,300,150,reverse_light_on_attack,0.55
embeddings_only_normalized,300,200,reverse_light_on_attack,0.55
all_normalized,300,200,reverse_light_on_attack,0.64
embeddings_only_normalized,300,250,reverse_light_on_attack,0.59
all_normalized,300,250,reverse_light_on_attack,0.64
embeddings_only_normalized,300,300,reverse_light_on_attack,0.62
all_normalized,300,300,reverse_light_on_attack,0.67
embeddings_only_normalized,350,50,reverse_light_on_attack,0.58
all_normalized,350,50,reverse_light_on_attack,0.62
embeddings_only_normalized,350,100,reverse_light_on_attack,0.53
all_normalized,350,100,reverse_light_on_attack,0.59
embeddings_only_normalized,350,150,reverse_light_on_attack,0.56
all_normalized,350,150,reverse_light_on_attack,0.65
embeddings_only_normalized,350,200,reverse_light_on_attack,0.54
all_normalized,350,200,reverse_light_on_attack,0.58
embeddings_only_normalized,350,250,reverse_light_on_attack,0.56
all_normalized,350,250,reverse_light_on_attack,0.61
embeddings_only_normalized,350,300,reverse_light_on_attack,0.55
all_normalized,350,300,reverse_light_on_attack,0.61
embeddings_only_normalized,350,350,reverse_light_on_attack,0.45
all_normalized,350,350,reverse_light_on_attack,0.52
embeddings_only_normalized,400,50,reverse_light_on_attack,0.51
all_normalized,400,50,reverse_light_on_attack,0.6
embeddings_only_normalized,400,100,reverse_light_on_attack,0.56
all_normalized,400,100,reverse_light_on_attack,0.61
embeddings_only_normalized,400,150,reverse_light_on_attack,0.59
all_normalized,400,150,reverse_light_on_attack,0.64
embeddings_only_normalized,400,200,reverse_light_on_attack,0.58
all_normalized,400,200,reverse_light_on_attack,0.67
embeddings_only_normalized,400,250,reverse_light_on_attack,0.47
all_normalized,400,250,reverse_light_on_attack,0.53
embeddings_only_normalized,400,300,reverse_light_on_attack,0.47
all_normalized,400,300,reverse_light_on_attack,0.56
embeddings_only_normalized,400,350,reverse_light_on_attack,0.55
all_normalized,400,350,reverse_light_on_attack,0.62
embeddings_only_normalized,400,400,reverse_light_on_attack,0.53
all_normalized,400,400,reverse_light_on_attack,0.6
